id;user_id;bar_id;challenge_type_id;time_ms;video_url;status;created_at;video_start_ms;chug_start_ms;chug_end_ms;video_end_ms;visibility;video_status;user_lat;user_lng
a1760205-f46d-43e9-8496-d73bb4071151;610d6aff-70fd-43cb-a9a9-f2cf9f21a54b;e573326b-7b8c-4822-8429-d51141f487c7;4a5e7a4e-441a-40ee-9540-89c4979bd658;2782;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/610d6aff-70fd-43cb-a9a9-f2cf9f21a54b/1772223452702.mp4;approved;2026-02-27 20:17:32.223475+00;0;0;2782;2782;public;uploaded;;
3821b631-a6dc-4779-8c20-6341390f124d;139190ce-4418-445f-97a7-74b2ab5f522b;7119538e-820f-44df-8d82-81c72a607449;4a5e7a4e-441a-40ee-9540-89c4979bd658;5735;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/139190ce-4418-445f-97a7-74b2ab5f522b/1772221964986.mp4;approved;2026-02-27 19:52:44.590403+00;0;0;5735;5735;public;uploaded;;
dc961fe7-3467-4022-9a66-437f406d1332;9605ab0f-c6dd-4f11-9ca7-0b154a2ede70;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;3299;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/9605ab0f-c6dd-4f11-9ca7-0b154a2ede70/1772229866552.mp4;approved;2026-02-27 22:04:26.325849+00;0;0;3299;3299;public;uploaded;;
76da8d82-f593-4fb5-9d06-0d0527140370;e0b8d233-006e-4a1d-94c7-6e42814c6159;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;5746;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/e0b8d233-006e-4a1d-94c7-6e42814c6159/1772222082083.mp4;approved;2026-02-27 19:54:41.387275+00;0;0;5746;5746;public;uploaded;;
4e14a3f2-0267-46c6-aaf9-985f3b98728c;3003cda1-2999-419b-a7e8-94a63e307e51;09067adf-9038-4a45-9ab8-22b6d18ce7ea;4a5e7a4e-441a-40ee-9540-89c4979bd658;4178;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/3003cda1-2999-419b-a7e8-94a63e307e51/1772197616803.mp4;rejected;2026-02-27 13:06:56.345345+00;0;0;4178;4178;private;uploaded;;
ccd73735-1c4d-4570-a2dc-bcd2eef25bee;ab47c924-5f30-49e3-9ac8-a157157b1467;7119538e-820f-44df-8d82-81c72a607449;4a5e7a4e-441a-40ee-9540-89c4979bd658;4918;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/ab47c924-5f30-49e3-9ac8-a157157b1467/1772224287319.mp4;approved;2026-02-27 20:31:26.323221+00;0;0;4918;4918;public;uploaded;;
a6efbeae-4602-4374-b272-4e32fe798aa0;9605ab0f-c6dd-4f11-9ca7-0b154a2ede70;7ef40a0b-dcde-4e71-9c43-8121b06f36d1;4a5e7a4e-441a-40ee-9540-89c4979bd658;2288;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/9605ab0f-c6dd-4f11-9ca7-0b154a2ede70/1772231298854.mp4;rejected;2026-02-27 22:28:18.802427+00;0;0;2288;2288;public;uploaded;;
a80a8f16-84a4-4b00-8d8a-ea0549e23e0e;139190ce-4418-445f-97a7-74b2ab5f522b;7119538e-820f-44df-8d82-81c72a607449;4a5e7a4e-441a-40ee-9540-89c4979bd658;6119;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/139190ce-4418-445f-97a7-74b2ab5f522b/1772222203700.mp4;approved;2026-02-27 19:56:43.161478+00;0;0;6119;6119;followers;uploaded;;
413a759f-441e-40c6-a27d-d50fe396e025;2398d665-6ad8-4dcc-bacd-5e4a1105d663;6c2dc30e-fe46-48cf-ba23-61a5f48212e7;4a5e7a4e-441a-40ee-9540-89c4979bd658;5078;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/2398d665-6ad8-4dcc-bacd-5e4a1105d663/1772296504754.mp4;approved;2026-02-28 16:35:04.347979+00;0;0;5078;5078;public;uploaded;;
5022a7c0-679a-4c49-81fb-1c092dae898d;6fb221d6-d7ff-4862-a177-40cb04aefba8;4ef36a70-ef18-429b-a8b0-25c313eb2ccf;4a5e7a4e-441a-40ee-9540-89c4979bd658;3222;https://bvxwgfnnqrjdbstigmek.supabase.co/storage/v1/object/public/videos/6fb221d6-d7ff-4862-a177-40cb04aefba8/1772227539014.mp4;approved;2026-02-27 21:25:38.432792+00;0;0;3222;3222;public;uploaded;;
